Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,12pF 0603,0603N120J500CT
"C3, C7",0603,2,100nF 0603,CL10B104KB8NNWC
"C4, C5",0603,2,4.7uf 0603,CL10A475KQ8NNNC
D1,D_SOD-523,1,CDSU101A,CDSU101A
J1,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,20021121-00010C4LF
J2,PinHeader_1x02_P2.54mm_Vertical,1,"Conn_01x02 0.1""",61300211121
"JP1, JP2",0603,2,0R 0603,RMCF0603ZT0R00
"R1, R2, R3, R4",0603,4,100k 0603 1%,RC0603FR-07100KL
TH1,0603,1,100k NTC,ERT-J1VS104HA
U1,BT840-BT840,1,BT840,BT840
U2,BAT-HLD-001,1,BAT-HLD-001,BAT-HLD-001-TR
X1,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,1,SIT8008BC-23-18E-80.000000,SIT8008BC-23-18E-80.000000
Y1,XTAL320X150X90,1,ABS07-32.768KHZ-T,ABS07-32.768KHZ-T
