Designator,Mid X,Mid Y,Rotation,Layer
C1,127.0,-50.165,90.0,top
C2,127.0,-46.99,270.0,top
C3,132.26,-56.585,0.0,top
C4,144.285,-55.88,0.0,top
C5,146.062156,-44.734305,0.0,top
C7,124.5725,-62.275,270.0,top
D1,128.7,-61.5,0.0,top
J1,142.195,-60.96,0.0,top
J2,147.0,-50.04,180.0,top
JP1,129.0,-63.0,180.0,top
JP2,134.5,-62.5,0.0,top
P1,136.25,-91.0,0.0,top
R1,132.21,-59.125,0.0,top
R2,126.4775,-62.275,270.0,top
R3,135.74,-56.585,180.0,top
R4,126.0,-57.5,270.0,top
TH1,135.74,-58.49,0.0,top
U1,129.54,-54.61,0.0,top
U2,136.0,-54.5,0.0,bottom
X1,128.59,-57.855,270.0,top
Y1,125.0,-48.5,270.0,top
